Column1,Column2,Full Address,Latitude,Longitude
Imouzzer-Kendar,Morocco,Imouzzer-Kendar Morocco ,33.7311674,-5.0156456
Biougra,Morocco,Biougra Morocco ,30.2206575,-9.3728585
Sidi Allal El Bahraoui,Morocco,Sidi Allal El Bahraoui Morocco ,34.0078774,-6.5303102
Chefchaouen,Morocco,Chefchaouen Morocco ,35.168796,-5.268364099999999
Ben Guerir,Morocco,Ben Guerir Morocco ,32.2359364,-7.953837799999999
Taghazout,Morocco,Taghazout Morocco ,30.5453374,-9.708985799999999
Berkane,Morocco,Berkane Morocco ,34.9177281,-2.3123031
El Gara,Morocco,El Gara Morocco ,33.2787909,-7.2275336
Ouarzazate,Morocco,Ouarzazate Morocco ,30.9335436,-6.937016
El Kelâa des Sraghna,Morocco,El Kelâa des Sraghna Morocco ,32.0550961,-7.400287199999999
Imouzzer,Morocco,Imouzzer Morocco ,30.6726508,-9.480813
Chellalate,Morocco,Chellalate Morocco ,31.791702,-7.092619999999999
Béni Yakhlef,Morocco,Béni Yakhlef Morocco ,33.6812829,-7.3489551
Sidi Bennour,Morocco,Sidi Bennour Morocco ,32.6521619,-8.4266472
Dcheira,Morocco,Dcheira Morocco ,30.3693727,-9.5284134
Moulay Bousselham,Morocco,Moulay Bousselham Morocco ,34.8826391,-6.274773400000001
Gzenaya Al Janoubia,Morocco,Gzenaya Al Janoubia Morocco ,35.7034548,-5.8855146
Ifrane Atlas Saghir,Morocco,Ifrane Atlas Saghir Morocco ,29.2231583,-9.489956
Inzegan,Morocco,Inzegan Morocco ,30.3523115,-9.551496499999999
Guelmim,Morocco,Guelmim Morocco ,28.9883659,-10.0527498
Gueznaia,Morocco,Gueznaia Morocco ,35.7034548,-5.8855146
Sidi Yahya Zaer,Morocco,Sidi Yahya Zaer Morocco ,33.8279092,-6.9034735
Taounate,Morocco,Taounate Morocco ,34.536917,-4.6398693
Boufkrane,Morocco,Boufkrane Morocco ,33.7557952,-5.485646
Aghbalou,Morocco,Aghbalou Morocco ,32.6771605,-5.2971826
Ait Ourir,Morocco,Ait Ourir Morocco ,31.5634338,-7.6710889
Ksar es-Seghir,Morocco,Ksar es-Seghir Morocco ,35.8360447,-5.556477699999999
Imzouren,Morocco,Imzouren Morocco ,35.1374021,-3.8502617
Sidi Boukhalkhal,Morocco,Sidi Boukhalkhal Morocco ,34.0998793,-6.368815
Jamaat Shaim,Morocco,Jamaat Shaim Morocco ,32.3576301,-8.8307626
Jorf El Melha,Morocco,Jorf El Melha Morocco ,34.4927017,-5.5066242
Mansoura,Morocco,Mansoura Morocco ,31.791702,-7.092619999999999
Bir Jdid,Morocco,Bir Jdid Morocco ,33.3736523,-8.000163299999999
Tahannaout,Morocco,Tahannaout Morocco ,31.354702,-7.9505308
Ouazzane,Morocco,Ouazzane Morocco ,34.7953732,-5.567558
Souk El Arbaa,Morocco,Souk El Arbaa Morocco ,34.6821915,-5.993833899999999
Daoura,Morocco,Daoura Morocco ,31.791702,-7.092619999999999
Ain Karma,Morocco,Ain Karma Morocco ,34.0070978,-5.617362399999999
Al Aaroui,Morocco,Al Aaroui Morocco ,35.0127095,-3.0075642
nan,Morocco,nan Morocco ,31.791702,-7.092619999999999
Mrir't,Morocco,Mrir't Morocco ,33.16271400000001,-5.5669786
Ouislane,Morocco,Ouislane Morocco ,30.2244565,-8.3800132
Ourika,Morocco,Ourika Morocco ,31.3737358,-7.790594
Mers El Kheir,Morocco,Mers El Kheir Morocco ,33.88340549999999,-6.903208299999999
Sidi Hajjaj Oued Hassar,Morocco,Sidi Hajjaj Oued Hassar Morocco ,33.5394352,-7.417856999999999
El Menzeh,Morocco,El Menzeh Morocco ,33.9025109,-5.534169599999999
Ain Taoujdate,Morocco,Ain Taoujdate Morocco ,33.9403286,-5.2084001
Meknassa Al Gharbia,Morocco,Meknassa Al Gharbia Morocco ,34.2805082,-4.074975500000001
Targuist,Morocco,Targuist Morocco ,34.9432203,-4.3128549
Tizgane,Morocco,Tizgane Morocco ,31.791702,-7.092619999999999
Sidi Taibi,Morocco,Sidi Taibi Morocco ,34.1876794,-6.6905458
Ahfir,Morocco,Ahfir Morocco ,34.9518203,-2.1033017
Souk Sebt Ouled Nemma,Morocco,Souk Sebt Ouled Nemma Morocco ,32.2973704,-6.7012424
Khénifra,Morocco,Khénifra Morocco ,32.9340471,-5.661570999999999
Aquouass Briech,Morocco,Aquouass Briech Morocco ,35.5406249,-5.9968149
Skhinate,Morocco,Skhinate Morocco ,34.0337236,-4.861138899999999
Laattaouia,Morocco,Laattaouia Morocco ,31.8338338,-7.3138554
Meknassa Acharqia,Morocco,Meknassa Acharqia Morocco ,34.3060264,-3.962337
Zeghanghane,Morocco,Zeghanghane Morocco ,35.1586093,-3.0000604
Ain Cheggag,Morocco,Ain Cheggag Morocco ,33.8860615,-5.0416551
Afourar,Morocco,Afourar Morocco ,32.216667,-6.5
Tahla,Morocco,Tahla Morocco ,34.0542897,-4.4259259
Sidi Bibi,Morocco,Sidi Bibi Morocco ,30.236651,-9.5270232
Azilal,Morocco,Azilal Morocco ,31.9649107,-6.5730004
Demnate,Morocco,Demnate Morocco ,31.7320849,-7.011458999999999
Moulay Abdallah,Morocco,Moulay Abdallah Morocco ,33.1963963,-8.587212
Lamaachate,Morocco,Lamaachate Morocco ,32.0933927,-9.1577234
Guercif,Morocco,Guercif Morocco ,34.2299391,-3.3489671
Haouzia,Morocco,Haouzia Morocco ,33.2145598,-8.4136249
Laaounate,Morocco,Laaounate Morocco ,34.536917,-4.6398693
