,Prix,Etage,Surface habitable,NB Salons,NB Chambres,NB Salles de Bain,Longitude,Latitude
415,1280000,2,100,1,3,2,-5.833954299999999,35.7594651
416,1280000,1,100,1,3,2,-5.833954299999999,35.7594651
417,1275000,5,91,1,2,2,-7.589843399999999,33.5731104
418,230000,3,55,1,2,1,-7.384854699999999,33.6835086
419,1650000,1,128,3,3,2,-7.589843399999999,33.5731104
436,1040000,2,91,1,2,2,-7.589843399999999,33.5731104
437,385000,1,55,1,2,1,-7.989825799999999,31.6225224
438,850000,1,110,2,3,1,-7.989825799999999,31.6225224
439,780000,3,62,1,2,1,-7.989825799999999,31.6225224
440,670000,3,55,1,2,1,-5.833954299999999,35.7594651
441,1200000,2,96,1,2,1,-6.8498129,33.9715904
442,1400000,1,116,1,3,2,-7.589843399999999,33.5731104
444,2180000,1,100,1,2,2,-6.8498129,33.9715904
445,620000,1,64,1,2,2,-6.5890166,34.2540503
446,580000,5,55,1,2,1,-9.5925444,30.4280405
447,900000,1,81,2,1,1,-7.589843399999999,33.5731104
448,2200000,3,166,1,3,3,-7.589843399999999,33.5731104
449,2470000,4,160,2,3,2,-7.589843399999999,33.5731104
451,880000,5,98,1,2,2,-6.5890166,34.2540503
453,970000,5,85,1,2,1,-7.989825799999999,31.6225224
455,310000,1,70,1,2,1,-6.5890166,34.2540503
456,790000,2,79,1,2,2,-5.833954299999999,35.7594651
457,1500000,2,130,1,3,2,-7.291589999999998,33.7395856
458,1100000,5,72,1,2,1,-7.589843399999999,33.5731104
459,1300000,3,176,1,3,2,-6.5890166,34.2540503
460,660000,1,100,1,3,1,-7.1305536,33.6189698
461,565000,1,77,1,2,1,-7.1599419,33.7734338
462,760000,2,71,1,2,1,-6.9273969,33.9203274
463,975000,1,74,1,2,2,-7.989825799999999,31.6225224
465,450000,1,58,1,2,1,-7.1599419,33.7734338
466,680000,1,112,1,3,2,-6.5890166,34.2540503
467,2075000,2,121,1,3,2,-7.589843399999999,33.5731104
469,750000,4,108,1,3,2,-7.633112999999999,33.4497542
470,1900000,4,120,1,2,2,-6.7400326,34.1199051
471,690000,1,118,1,3,2,-6.5890166,34.2540503
472,600000,3,144,1,3,2,-7.622266499999999,32.99242419999999
474,1020000,5,60,1,1,1,-6.8498129,33.9715904
477,1230000,4,98,1,3,2,-7.589843399999999,33.5731104
478,800000,1,70,1,3,1,-9.5925444,30.4280405
479,820000,1,79,1,2,2,-6.5890166,34.2540503
481,790000,1,74,1,3,2,-7.589843399999999,33.5731104
483,1100000,1,108,1,3,2,-7.589843399999999,33.5731104
484,990000,3,101,1,3,2,-7.589843399999999,33.5731104
485,520000,2,56,1,2,1,-9.5925444,30.4280405
487,1840000,2,147,2,3,3,-6.770813800000001,34.0336969
488,1400000,3,90,1,2,2,-9.5925444,30.4280405
489,630000,1,62,1,2,2,-6.9273969,33.9203274
505,1750000,2,175,2,3,2,-5.0078451,34.0181246
506,310000,1,52,1,2,1,-5.833954299999999,35.7594651
507,250000,3,70,1,2,2,-5.3625516,35.5888995
508,1145000,2,118,2,3,2,-6.5890166,34.2540503
509,230000,1,50,1,2,1,-7.825917399999999,33.524034
510,250000,4,60,1,2,1,-5.0078451,34.0181246
511,760000,3,130,1,4,1,-7.1599419,33.7734338
512,1130000,3,103,2,2,2,-7.589843399999999,33.5731104
513,790000,1,97,2,2,2,-7.589843399999999,33.5731104
514,850000,3,77,1,2,2,-9.5925444,30.4280405
515,500000,3,99,1,2,1,-7.589843399999999,33.5731104
516,700000,1,150,2,3,2,-8.500711599999999,33.2316326
517,2700000,1,137,1,3,2,-7.989825799999999,31.6225224
519,495000,1,80,1,3,1,-7.1599419,33.7734338
520,2850000,4,152,2,3,3,-7.589843399999999,33.5731104
521,540000,1,67,1,2,1,-6.9273969,33.9203274
522,480000,3,68,1,2,1,-5.284117699999999,35.6196262
523,470000,1,62,1,2,1,-5.284117699999999,35.6196262
524,700000,2,120,2,3,2,-5.0078451,34.0181246
526,1800000,2,110,1,2,1,-7.589843399999999,33.5731104
527,490000,1,72,1,2,1,-6.770813800000001,34.0336969
529,980000,1,112,2,3,2,-7.633112999999999,33.4497542
531,580000,1,82,1,2,1,-7.1599419,33.7734338
532,1957000,4,100,1,2,2,-7.589843399999999,33.5731104
533,2600000,3,66,1,2,2,-6.9262805,33.8307968
534,748000,1,85,1,2,2,-7.589843399999999,33.5731104
535,850000,1,99,1,3,2,-7.589843399999999,33.5731104
537,470000,3,84,2,2,2,-6.5890166,34.2540503
538,690000,1,85,1,3,2,-7.825917399999999,33.524034
539,800000,4,80,1,2,2,-9.5925444,30.4280405
540,630000,3,86,2,2,2,-7.825917399999999,33.524034
541,950000,1,92,2,2,1,-6.9273969,33.9203274
542,700000,4,70,1,2,1,-6.8498129,33.9715904
543,793500,1,69,1,2,2,-6.770813800000001,34.0336969
544,650000,8,92,1,2,2,-5.5407299,33.8730164
545,850000,4,99,2,3,2,-6.9273969,33.9203274
547,1500000,1,120,2,3,4,-7.384854699999999,33.6835086
548,935000,2,101,1,3,2,-7.589843399999999,33.5731104
549,1150000,2,100,1,2,2,-7.291589999999998,33.7395856
551,365000,3,60,1,2,2,-7.092619999999999,31.791702
553,820000,3,81,1,2,2,-7.589843399999999,33.5731104
554,650000,2,60,1,1,1,-5.284117699999999,35.6196262
555,390000,2,100,1,3,1,-1.900155,34.681962
556,1250000,4,107,2,2,2,-7.589843399999999,33.5731104
558,340000,4,80,1,2,1,-5.284117699999999,35.6196262
569,1200000,2,99,1,3,2,-9.5925444,30.4280405
570,2100000,1,156,2,3,3,-7.825917399999999,33.524034
571,960000,1,96,1,3,2,-9.5925444,30.4280405
574,1350000,2,147,1,3,2,-7.589843399999999,33.5731104
575,1500000,4,150,2,3,2,-7.589843399999999,33.5731104
576,475000,1,64,1,2,1,-7.1599419,33.7734338
577,530000,1,87,1,3,2,-5.0078451,34.0181246
578,380000,3,62,1,2,1,-5.284117699999999,35.6196262
579,840000,3,87,1,2,2,-9.5925444,30.4280405
581,1240000,4,118,2,3,2,-7.989825799999999,31.6225224
582,455000,2,50,1,1,1,-7.989825799999999,31.6225224
583,400000,1,47,1,1,1,-7.989825799999999,31.6225224
584,1000000,4,94,1,3,2,-5.833954299999999,35.7594651
585,1250000,1,173,2,2,2,-7.589843399999999,33.5731104
587,880000,3,91,1,2,2,-6.770813800000001,34.0336969
588,1160000,1,91,2,2,2,-7.384854699999999,33.6835086
589,1850000,4,146,1,3,2,-7.589843399999999,33.5731104
591,350000,1,64,1,2,1,-2.9275836,35.1686165
592,370000,4,60,1,2,1,-7.092619999999999,31.791702
594,580000,1,58,1,2,1,-7.589843399999999,33.5731104
597,430000,2,100,1,3,1,-1.900155,34.681962
599,350000,2,58,1,2,1,-7.5370811,33.4160634
600,380000,1,90,1,2,1,-1.900155,34.681962
601,1500000,3,99,1,2,2,-7.589843399999999,33.5731104
602,320000,1,64,0,2,1,-7.589843399999999,33.5731104
603,480000,1,120,1,3,2,-1.900155,34.681962
604,640000,1,79,1,3,2,-6.770813800000001,34.0336969
605,380000,3,100,1,2,1,-1.900155,34.681962
606,420000,2,74,1,3,1,-7.589843399999999,33.5731104
607,430000,1,110,1,2,1,-1.900155,34.681962
608,340000,4,68,1,2,1,-7.589843399999999,33.5731104
609,697200,1,82,1,3,2,-6.770813800000001,34.0336969
610,950000,2,120,1,3,2,-7.989825799999999,31.6225224
612,920000,3,46,1,1,1,-7.589843399999999,33.5731104
613,430000,2,100,1,3,1,-1.900155,34.681962
615,2400000,1,144,1,3,3,-7.589843399999999,33.5731104
617,1150000,4,51,1,1,1,-7.589843399999999,33.5731104
618,2472000,5,103,2,2,2,-5.833954299999999,35.7594651
619,440000,1,107,1,2,1,-1.900155,34.681962
621,440000,3,100,1,3,1,-1.900155,34.681962
622,390000,1,66,1,3,1,-5.833954299999999,35.7594651
623,480000,2,105,1,3,1,-1.900155,34.681962
624,250000,3,55,1,2,1,-7.589843399999999,33.5731104
625,440000,1,100,1,3,1,-1.900155,34.681962
627,860000,2,44,1,1,1,-7.589843399999999,33.5731104
628,500000,2,76,1,3,1,-7.589843399999999,33.5731104
654,340000,1,85,1,2,1,-1.900155,34.681962
656,350000,2,50,1,2,1,-7.589843399999999,33.5731104
657,440000,1,107,1,3,1,-1.900155,34.681962
658,1700000,5,125,2,3,3,-6.8498129,33.9715904
659,2100000,2,120,1,2,2,-6.8498129,33.9715904
660,1160000,5,106,1,3,2,-9.5925444,30.4280405
661,430000,1,100,1,3,1,-1.900155,34.681962
663,1390000,1,100,1,2,2,-7.589843399999999,33.5731104
664,895000,4,152,1,2,2,-6.770813800000001,34.0336969
669,330000,1,70,1,2,1,-1.900155,34.681962
670,880000,1,130,2,3,1,-8.500711599999999,33.2316326
671,550000,4,80,1,4,2,-5.833954299999999,35.7594651
672,1470000,5,98,1,2,1,-6.8498129,33.9715904
673,900000,3,81,1,2,2,-5.833954299999999,35.7594651
674,745000,1,106,1,2,2,-6.770813800000001,34.0336969
675,639900,2,79,1,3,2,-6.770813800000001,34.0336969
676,690000,7,66,1,3,1,-5.833954299999999,35.7594651
679,480000,2,115,1,3,2,-1.900155,34.681962
680,2850000,4,137,2,3,3,-6.8498129,33.9715904
682,570000,1,76,1,2,2,-7.060599799999999,33.8509477
683,390000,1,90,1,3,1,-1.900155,34.681962
684,400000,3,130,1,3,1,-1.900155,34.681962
685,340000,1,55,1,2,1,-7.589843399999999,33.5731104
686,840000,3,81,2,2,2,-7.989825799999999,31.6225224
687,760000,2,97,1,2,2,-6.5890166,34.2540503
688,2320000,3,116,2,2,2,-7.589843399999999,33.5731104
689,1400000,2,91,1,3,2,-7.589843399999999,33.5731104
691,1290000,3,86,2,2,2,-6.8498129,33.9715904
693,1000000,1,95,1,2,2,-7.989825799999999,31.6225224
695,570000,1,76,1,2,1,-5.284117699999999,35.6196262
696,1700000,3,122,1,2,1,-7.989825799999999,31.6225224
698,380000,1,74,1,2,1,-6.5890166,34.2540503
699,650000,1,77,1,2,2,-7.989825799999999,31.6225224
727,1280000,4,128,1,2,2,-7.989825799999999,31.6225224
728,640000,1,128,1,4,2,-1.900155,34.681962
729,650000,1,118,1,3,2,-1.900155,34.681962
730,890000,2,110,1,3,1,-5.833954299999999,35.7594651
731,350000,1,52,1,2,1,-7.825917399999999,33.524034
732,1550000,1,124,2,2,2,-7.589843399999999,33.5731104
734,590000,1,100,2,3,2,-6.5890166,34.2540503
735,1250000,2,111,1,2,2,-7.589843399999999,33.5731104
736,660000,2,64,1,2,2,-7.589843399999999,33.5731104
737,940000,3,44,1,1,1,-7.589843399999999,33.5731104
739,400000,2,56,1,2,1,-7.589843399999999,33.5731104
740,1115000,3,88,2,2,1,-7.384854699999999,33.6835086
741,800000,4,80,1,2,2,-9.5925444,30.4280405
742,370000,3,62,1,2,1,-7.989825799999999,31.6225224
743,2250000,1,145,2,3,2,-6.8498129,33.9715904
744,2290000,2,98,1,3,2,-6.7400326,34.1199051
745,280000,4,62,1,2,2,-6.0573302,33.8153704
748,1300000,4,48,1,2,1,-7.989825799999999,31.6225224
749,2900000,1,107,1,2,2,-7.989825799999999,31.6225224
751,420000,2,140,2,3,2,-7.589843399999999,33.5731104
752,518500,1,61,1,2,1,-7.989825799999999,31.6225224
753,433500,3,51,1,1,1,-7.989825799999999,31.6225224
754,640000,4,80,1,2,2,-7.989825799999999,31.6225224
756,493000,1,58,1,1,1,-7.989825799999999,31.6225224
757,770000,1,115,1,3,2,-6.5890166,34.2540503
759,880000,1,103,1,3,2,-7.989825799999999,31.6225224
760,1050000,3,88,1,2,2,-7.589843399999999,33.5731104
761,580000,3,68,1,2,2,-7.989825799999999,31.6225224
762,485000,2,52,1,1,1,-7.989825799999999,31.6225224
763,1200000,4,90,1,2,2,-6.9273969,33.9203274
764,1000000,4,116,1,3,2,-7.589843399999999,33.5731104
765,440000,2,70,1,3,1,-7.989825799999999,31.6225224
766,600000,1,56,1,2,1,-6.8498129,33.9715904
767,660000,1,102,2,3,2,-7.989825799999999,31.6225224
768,630000,1,90,1,2,1,-7.1599419,33.7734338
779,455000,1,50,1,1,1,-7.989825799999999,31.6225224
780,500000,3,74,1,3,2,-7.589843399999999,33.5731104
781,770000,4,87,2,2,2,-6.770813800000001,34.0336969
783,2400000,1,109,1,2,2,-5.833954299999999,35.7594651
784,350000,3,65,1,2,1,-7.633112999999999,33.4497542
785,340000,1,50,1,2,1,-7.589843399999999,33.5731104
786,950000,3,61,1,2,1,-7.384854699999999,33.6835086
787,520000,3,130,2,3,2,-5.5407299,33.8730164
788,1200000,1,100,1,2,2,-7.589843399999999,33.5731104
789,520000,1,56,1,2,1,-9.5925444,30.4280405
791,330000,2,57,1,2,2,-9.475603,30.38179389999999
792,290000,4,57,1,2,2,-9.475603,30.38179389999999
793,575000,3,86,1,3,2,-7.1599419,33.7734338
794,800000,4,79,1,2,2,-9.5925444,30.4280405
796,1100000,3,89,1,2,2,-7.633112999999999,33.4497542
797,310000,1,50,1,2,1,-7.989825799999999,31.6225224
798,990000,2,75,2,2,1,-7.989825799999999,31.6225224
799,1200000,1,115,1,2,1,-7.589843399999999,33.5731104
800,560000,1,86,1,2,2,-6.6758408,34.2562684
802,780000,1,78,1,2,1,-7.384854699999999,33.6835086
803,1550000,1,110,1,3,2,-7.589843399999999,33.5731104
